A2ML1,ABCC8,AVPR1A,BCL11A,C1orf64,CCDC74B,CD79B,CDC25C,CDCA8,CDK1,CEP55,CKS1B,CPB1,CYP4Z2P,E2F5,ESR1,FAM72B,FGF1,FLJ33360,FLT3,FOXA1,FOXC1,GDF5,GUSBP3,HTR7,IGFN1,IQGAP3,LOC145837,LRRC31,MIA,MLPH,MMP23B,MUCL1,MYBL2,NCAPG,NUF2,OIP5,OVGP1,PALM2,PAMR1,PHEX,POC1A,RUNX1T1,SLIT3,SYT13,TFAP2B,TPX2,TTK,UBE2T,UCKL1AS,subtype
-0.655268696,0.584186338,0.205661266,-0.569895856,-1.633435325,0.617742448,-0.180293478,0.787114634,0.731254519,0.313552835,-0.066888867,-0.556027164,1.862874956,-0.435755977,-0.742755319,0.032356046,0.328719379,0.060928695,-0.063893705,0.495978383,0.291863608,-1.635541463,1.718634802,1.012513225,-0.098062505,0.34884942,1.230037793,1.114228551,1.061690514,-0.694568727,0.353984496,-0.125389,0.259687187,0.113645606,0.217240941,0.188797422,0.732917275,-0.342936946,-0.928551179,-0.693899744,0.357167725,-0.510651801,-0.369080704,-0.819500762,1.47040162,0.603954158,0.489259853,-0.749533517,-0.164106378,2.605652312,LumA
-0.304554853,0.513910391,0.171063373,-0.374935882,-0.165362578,-0.525231699,2.176529513,-0.04525932,0.601954945,0.423202493,0.58091006,0.048939486,-0.442200274,0.874423034,-1.276362911,-1.729141324,0.714213314,-0.12128019,2.104203324,-0.319828808,0.3478093,-0.930816715,-0.255255737,0.76558081,-0.006369826,0.546581034,1.25965856,-0.530774165,1.572601683,-0.536368601,1.012916225,0.071176548,0.022340724,1.553440541,0.48017601,0.73419706,0.112682,-0.445841705,-0.444886417,0.479800226,1.126796405,0.951112174,-0.304954142,0.107425379,-0.037492445,1.120080439,1.118835901,0.130944984,1.282143573,2.399537733,Her2
-1.030153156,0.308165505,0.439091991,-1.086561701,-1.107139437,-0.309028087,0.448932297,0.358676569,0.450721383,1.569076011,-0.04749045,0.111049396,0.885419077,-1.928576327,-0.240262451,0.380293026,0.806510345,0.207653558,1.367986719,1.610967824,0.203662945,-0.10843142,-0.261857712,1.694796685,-0.31553344,-1.083385156,1.364732739,0.962351351,-1.237503686,-1.093440304,0.246059355,0.344782194,0.984520257,1.239254551,0.469895967,0.686231274,0.482191751,0.92756902,-0.748688791,-1.265697042,-1.846198528,0.831794691,-0.795976623,-0.009918558,-1.461891021,-1.908697063,0.201865118,-0.553407279,0.925914897,2.977605141,LumB
-0.607707161,0.110127033,0.514591037,-0.135469411,0.072460137,1.390008381,0.382194515,-0.391945677,-0.208919813,-0.215498118,-0.172459534,-0.668493345,0.077087668,0.496470696,-0.569543422,-0.116487482,-0.753770973,0.862302371,2.486276825,0.602317187,0.452100374,0.271436687,-0.089706209,-0.132290921,1.640136876,0.195408717,0.120433253,0.192164641,0.107129588,0.816486606,0.702883757,1.207077421,1.158182622,-0.214792945,-0.201315584,-0.464066144,-0.443528391,0.02422206,-0.082386863,1.304455356,-0.623677276,-0.423160634,0.907590912,0.69634337,-0.486211211,0.882665368,-0.300214736,-0.652900104,0.035343207,0.010427544,LumA
-0.388732173,0.567002672,-0.501774603,-0.126862962,0.968575253,0.801451248,-0.386959842,-0.575517543,-0.556961836,-0.389744224,-0.548835193,-0.894117097,-0.739328602,0.461838231,0.379257449,0.243043231,-0.497108311,1.193120226,-0.5625229,-0.811976684,0.41031721,-0.153121786,-0.096608274,0.254168921,1.191989939,-1.083385156,-0.109108752,-0.285193487,-0.389690503,0.72740562,0.360082932,1.209280365,0.014617132,-0.251311557,-0.488822462,-0.737169963,-0.566574768,0.056394954,-0.080252421,-0.102919656,-0.248613648,-0.107144037,1.087658824,1.219615463,-0.659817344,1.039374405,-0.541353946,-0.296646874,-0.797605828,-0.124785847,LumA
-0.694343526,0.829938996,-0.581265714,0.257239664,1.045777675,1.694492992,0.865491534,-1.029624556,-1.094643236,-1.369846137,-1.519065178,-0.544388758,0.199230969,0.4778844,-0.381368711,0.323199361,-0.952747991,1.330817074,2.095161754,1.008774966,0.367940851,-0.028597707,-0.106111117,-0.308398308,0.795672887,0.343813604,-0.979777488,-0.010254888,-0.407507888,0.671804735,0.608357997,1.379221761,-0.052336462,-0.967488476,-1.266679007,-1.519166535,-0.577878727,0.244905479,-0.864019856,0.04071233,-0.916434293,-0.044989114,0.29029046,0.010245194,-0.784560272,1.051018809,-1.388902308,-1.117151071,-0.755809729,-1.051048619,LumA
-0.327405982,0.693846985,-0.838438717,-0.046775174,1.372606712,1.272934511,0.928040516,-3.197328262,-1.593748128,-0.565287446,-2.197777917,-0.609840387,-0.250368562,0.804972239,-0.553886969,0.131605897,-1.606672459,-0.560512725,1.501282746,0.302646211,0.415693038,-0.126751374,0.162669296,0.320677938,1.443133793,0.682608736,-3.175729342,0.23611812,0.52143859,0.418910391,0.547888997,0.998678918,0.42657364,-1.743480363,-1.971405168,-1.598938118,-1.106941084,0.358723154,-0.765124001,0.833623698,1.057333631,0.385602221,-0.127124735,0.155030026,-1.688362807,1.181949197,-2.005251311,-1.426407323,-0.944067053,1.230596157,LumA
-1.030153156,0.246350218,-2.815841382,-0.976470876,0.893989862,-0.074674684,-1.066847462,0.770079788,0.010505405,0.422337748,0.645288074,0.989000044,0.725288532,-1.740575939,0.293146957,0.045106027,0.804972061,-3.243246131,-1.357823036,-2.209409481,0.509936874,-0.608127505,-1.49627702,1.216497795,-2.451783038,-1.083385156,-0.004489112,-0.105417922,0.969284357,-0.449346906,1.119896537,-1.527720216,0.481254778,0.268477653,0.522884154,0.798175927,1.503810237,0.579568245,-2.498078196,-1.961056077,-1.435195721,1.272495562,-2.671711466,-2.41918365,0.799269105,-1.75606231,0.525810327,-0.167093579,0.896447773,0.153157946,LumB
-0.414102324,-1.856648478,-0.868834437,2.009010613,-1.839635578,-0.652845817,-2.176709803,-1.00846712,-0.900736547,-1.355231948,-1.026299017,-0.448976875,0.015987005,-1.546442073,0.15223888,-0.594361769,-1.038814973,-1.65698472,0.845007948,-1.161009065,-0.947950756,1.866201544,2.936849262,-0.505236697,2.242205367,0.33489475,-0.93083883,-1.497708988,-0.262369786,2.10390947,-1.41417546,-0.118780168,-0.56908269,-0.420281687,-0.555015906,-1.389298984,-1.910356093,0.156227929,2.112816517,-0.844494877,-1.518916333,-0.719956632,0.063806505,1.336656186,-0.73950495,-0.512097876,-1.09321132,-0.471950737,-1.583250073,-0.049801345,Normal
-0.098774743,0.851254612,0.253496005,0.21711608,0.325766953,0.263847214,0.154414331,-0.178426707,-1.126648081,-0.258475942,-0.359410811,-0.704099953,2.340036514,0.627411154,-0.023351213,0.498605349,-0.778768086,1.455717693,-0.701995841,-0.159282058,0.50515424,0.245788752,-0.292816975,1.672650597,0.236603394,0.800980745,-0.149411177,1.052009775,0.0211427,0.575350155,0.632708795,0.804882786,1.538462925,-0.407918019,-0.49199841,-0.7908652,-0.559532957,-0.923665765,0.414938334,1.488910501,0.023934945,-0.687755889,0.846887945,0.421100582,1.386822747,0.499481467,-0.057823262,-0.408163886,-1.272664836,-0.105111695,LumA
